manufacturer,device,section,sound_name,sound_description,midi_channel,note_number_min_value,note_number_max_value,note_number_default_value,comments,velocity_usage
Roland,TR-8S,Default note map,Bass drum,,10,36,36,36,,
Roland,TR-8S,Default note map,Snare drum,,10,38,38,38,,
Roland,TR-8S,Default note map,Low tom,,10,43,43,43,,
Roland,TR-8S,Default note map,Mid tom,,10,47,47,47,,
Roland,TR-8S,Default note map,High tom,,10,50,50,50,,
Roland,TR-8S,Default note map,Rim shot,,10,37,37,37,,
Roland,TR-8S,Default note map,Hand clap,,10,39,39,39,,
Roland,TR-8S,Default note map,Closed hi-hat,,10,42,42,42,,
Roland,TR-8S,Default note map,Open hi-hat,,10,46,46,46,,
Roland,TR-8S,Default note map,Crash cymbal,,10,49,49,49,,
Roland,TR-8S,Default note map,Ride cymbal,,10,51,51,51,,
Roland,TR-8S,Alternate note map,Bass drum,,10,35,35,35,,
Roland,TR-8S,Alternate note map,Snare drum,,10,40,40,40,,
Roland,TR-8S,Alternate note map,Low tom,,10,41,41,41,,
Roland,TR-8S,Alternate note map,Mid tom,,10,45,45,45,,
Roland,TR-8S,Alternate note map,High tom,,10,48,48,48,,
Roland,TR-8S,Alternate note map,Rim shot,,10,56,56,56,,
Roland,TR-8S,Alternate note map,Hand clap,,10,54,54,54,,
Roland,TR-8S,Alternate note map,Closed hi-hat,,10,44,44,44,,
Roland,TR-8S,Alternate note map,Open hi-hat,,10,55,55,55,,
Roland,TR-8S,Alternate note map,Crash cymbal,,10,61,61,61,,
Roland,TR-8S,Alternate note map,Ride cymbal,,10,63,63,63,,
