manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Teenage Engineering,EP-133 K.O. II,General,Bank select,Used together with program change to select sounds 1-999,0,32,0,16383,,,,,,,0-based,,
Teenage Engineering,EP-133 K.O. II,General,Vibrato,Mod wheel controls vibrato,1,,0,127,,,,,,,0-based,,0~127: Vibrato amount
Teenage Engineering,EP-133 K.O. II,General,Sustain pedal,Sustains key and legato voices,64,,0,127,0,,,,,,0-based,Requires OS 2.5 or later. Only affects key and legato voices,0-63: Off; 64-127: On
Teenage Engineering,EP-133 K.O. II,Effects,FX knob X,Controls the X parameter of the currently selected punch-in effect,12,,0,127,,,,,,,0-based,Requires OS 2.5 or later,0~127: Effect X parameter
Teenage Engineering,EP-133 K.O. II,Effects,FX knob Y,Controls the Y parameter of the currently selected punch-in effect,13,,0,127,,,,,,,0-based,Requires OS 2.5 or later,0~127: Effect Y parameter
