manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Modal Electronics,COBALT8,Mod slots,ModSlot 1 Source,,100,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 1 Dest,,108,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 1 Depth,,88,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 2 Source,,101,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 2 Dest,,109,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 2 Depth,,89,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 3 Source,,102,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 3 Dest,,110,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 3 Depth,,90,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 4 Source,,103,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 4 Dest,,111,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 4 Depth,,91,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 5 Source,,104,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 5 Dest,,112,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 5 Depth,,92,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 6 Source,,105,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 6 Dest,,113,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 6 Depth,,93,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 7 Source,,106,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 7 Dest,,114,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 7 Depth,,94,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 8 Source,,107,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 8 Dest,,115,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Mod slots,ModSlot 8 Depth,,95,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Morph,Morph,,33,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Oscillators,Osc1 Algorithm,,62,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Oscillators,Osc1 Param A,,16,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Oscillators,Osc1 Param B,,19,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Oscillators,Osc1 Tune,,14,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Oscillators,Osc1 Fine,,15,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Oscillators,Osc2 Algorithm,,63,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Oscillators,Osc2 Param A,,17,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Oscillators,Osc2 Param B,,20,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Oscillators,Osc2 Tune,,30,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Oscillators,Osc2 Fine,,31,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Oscillators,Osc Mix,,18,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Sequencer,Seq Length,,67,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Sequencer,Seq Mute,,68,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Sequencer,Seq Clear,,69,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Sequencer,Seq Hold,,70,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Sequencer,Seq Loop,,71,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Sequencer,Seq Record,,72,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Sequencer,Seq Quantise,,79,,0,127,,,,,,,0-based,,
